violation_id,rule_id,rule_name,rule_category,rule_type,object_id,event_id,activity,timestamp,actor,severity,response_mode,condition_met,threshold_level,observed_value,p90_threshold,p95_threshold,detected_at
VIO-DET-0001,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00003,,2026-01-10T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0002,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-001,EVT-00005,,2026-01-13T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0003,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00008,,2026-01-13T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0004,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-003,EVT-00045,,2026-01-14T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0005,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-003,EVT-00045,,2026-01-14T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0006,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00011,,2026-01-14T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0007,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-002,EVT-00022,,2026-01-17T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0008,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-002,EVT-00022,,2026-01-17T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0009,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00014,,2026-01-17T12:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0010,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-003,EVT-00049,,2026-01-19T09:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0011,DG09,Rework Justification,Quality,Deterministic,BOM-PO-NTS-2026-003,EVT-00050,,2026-01-19T13:00:00Z,,High,Hard Stop,ValidateBOM status=Incomplete (no documented justification),,,,,2026-06-14T17:09:41.048614+00:00
STAT-0001,DG07,Negotiation Auditability,Traceability,Statistical,BOM-PO-NTS-2026-003,EVT-00052,,2026-01-23T19:00:00Z,,Medium,Intervention Package,ValidateBOM version=v1.2 without ReturnOrderForRevision reason,Warning,2.0,2.0,2.0,2026-06-14T17:09:41.048614+00:00
VIO-DET-0012,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-004,EVT-00068,,2026-01-24T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0013,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00087,,2026-01-24T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.048614+00:00
VIO-DET-0014,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-003,EVT-00054,,2026-01-24T03:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0015,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-003,EVT-00057,,2026-01-24T13:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0016,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-006,EVT-00106,,2026-01-27T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0017,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-006,EVT-00106,,2026-01-27T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0018,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-007,EVT-00129,,2026-01-27T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0019,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-007,EVT-00129,,2026-01-27T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0020,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-003,EVT-00060,,2026-01-27T19:00:00Z,,Medium,Intervention Package,Department changed PM→Logistics without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0021,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-004,EVT-00070,,2026-01-29T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0022,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-005,EVT-00089,,2026-01-29T06:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0023,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-004,EVT-00073,,2026-01-29T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0024,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00092,,2026-01-29T20:00:00Z,,Medium,Intervention Package,Department changed PM→Accounting without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0025,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-004,EVT-00076,,2026-01-30T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0026,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-005,EVT-00095,,2026-01-30T06:00:00Z,,Medium,Intervention Package,Department changed Accounting→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0027,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00018,,2026-01-31T19:00:00Z,,Medium,Intervention Package,Department changed Logistics→Admin without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0028,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-001,EVT-00019,,2026-01-31T21:00:00Z,,Medium,Intervention Package,Department changed Admin→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0029,DG01,Complete Information,Quality,Deterministic,PO-NTS-2026-009,EVT-00171,,2026-02-02T02:00:00Z,,High,Hard Stop,ReviewOrderInformation status=Incomplete,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0030,DG15,Ownership Governance Monitoring,Ownership,Deterministic,PO-NTS-2026-009,EVT-00171,,2026-02-02T02:00:00Z,,Medium,Intervention Package,Department changed Sales→PM without reassignment doc,,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0031,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-002,EVT-00026,,2026-02-02T09:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.051054+00:00
VIO-DET-0032,DG12,Document Lineage Control,Traceability,Deterministic,VQ-PO-NTS-2026-006,EVT-00110,,2026-02-02T09:00:00Z,,High,Hard Stop,VendorQuotation received with no PO in relationships (lineage broken),,,,,2026-06-14T17:09:41.051054+00:00
